,electricity,heat,pv,temp_air,ghi,dhi,wind_speed,pressure,temp_dew,h2_demand
2022-08-12 16:15:00+00:00,27.979391682194542,2.4984081222683017,22.89072575961295,30.10909090909465,344.1666666666667,73.66666666666667,4.08,101332.00000000004,7.772277740710709,2.7979391682194543
2022-08-12 16:30:00+00:00,24.245810055872425,2.498408122264664,21.002459905495947,29.97272727269022,304.30555556488525,70.99998597740387,4.146525374880444,101318.99999999996,7.826525676942337,2.4245810055872425
2022-08-12 16:45:00+00:00,27.731843575369567,2.4986182074680983,18.583409859295124,29.700000000000003,268.33333333333354,66.66666666666669,4.479999998929377,101312.00000000004,7.845454545454549,2.7731843575369566
2022-08-12 17:00:00+00:00,27.998510241974145,2.4989625993694062,16.243263569474845,29.48181818181819,229.8655462771592,61.83333333084679,4.04,101306.00000000004,7.918181818181819,2.7998510241974146
2022-08-12 17:15:00+00:00,23.998526703566316,2.4989625991329376,13.924512783911144,29.16363636363636,192.22222222222223,57.33333333333333,3.7804877137984647,101306.0,8.181818181818185,2.3998526703566316
2022-08-12 17:30:00+00:00,27.97790055256337,2.4989625991402136,11.377976341088743,28.85,155.14496962421902,51.665279685716094,3.31,101299.99999999996,8.331818181813489,2.797790055256337
2022-08-12 17:45:00+00:00,24.24309392250143,2.686862131500675,8.7746446261593,28.409090909090907,120.07013866626431,45.87171428384221,3.319999999999998,101302.0,8.436363636297612,2.424309392250143
2022-08-12 18:00:00+00:00,27.7360343770124,3.000766497269069,6.01568576050767,27.45451419346772,86.11111111110978,38.0,3.0700000000000003,101305.00000000004,8.84090909090909,2.7736034377012397
2022-08-12 18:15:00+00:00,23.95654872758314,3.000766497258155,3.2013750529406675,27.01818181821793,53.888888888901626,29.333333333333343,2.6363642343160776,101314.0,9.009090909090911,2.395654872758314
2022-08-12 18:30:00+00:00,24.13062131544575,3.000766497276345,0.8458718953132246,25.06155143849613,26.80555555555556,19.333333376182125,2.450000000047187,101325.99999999996,9.34090909090909,2.4130621315445753
2022-08-12 18:45:00+00:00,24.0,4.501112505251513,0.0,24.57485606312728,9.444476604534085,7.9999999999999964,2.5200000000000005,101332.00000000004,9.77272727272727,2.4
2022-08-12 19:00:00+00:00,27.845303867245093,6.995770660396374,0.0,23.8472191458858,1.805555555555555,1.4972572504492605,2.6320167823842717,101337.0,10.072727272727278,2.7845303867245095
2022-08-12 19:15:00+00:00,24.0,6.995770660392736,0.0,23.332311373365,0.0,0.0,2.52,101340.00000000004,10.127272725971617,2.4
2022-08-12 19:30:00+00:00,24.0,6.995770660625567,0.0,22.51593429916244,0.0,0.0,2.39,101345.0,10.290909090521309,2.4
2022-08-12 19:45:00+00:00,23.97938207979314,5.508379658262129,0.0,22.04434344230717,0.0,0.0,2.2600000001032736,101353.99999999996,10.31818181800722,2.397938207979314
2022-08-12 20:00:00+00:00,20.0,2.999794834173372,0.0,21.14692952144972,0.0,0.0,2.45,101359.00000000004,10.45909090877015,2.0
2022-08-12 20:15:00+00:00,20.0,2.9997948341842857,0.0,21.027272727272752,0.0,0.0,2.22,101366.00000000004,10.39090909163101,2.0
2022-08-12 20:30:00+00:00,23.977653631241992,2.999794833940541,0.0,20.25618050296333,0.0,0.0,1.9463795749164283,101374.0,10.445454537729116,2.3977653631241993
2022-08-12 20:45:00+00:00,19.977157045388594,4.481974066122348,0.0,19.578725868181905,0.0,0.0,1.814028832917844,101375.99999999996,10.463634744031497,1.9977157045388594
2022-08-12 21:00:00+00:00,23.99950890103355,6.99369096790906,0.0,20.193274555382057,0.0,0.0,1.937014416458922,101376.99999999996,10.372727272727277,2.399950890103355
2022-08-12 21:15:00+00:00,20.04419889510609,6.993690967905422,0.0,19.36242375194957,0.0,0.0,1.8592682791194992,101380.0,10.427272727272726,2.0044198895106087
