time,electricity demand (W),heat demand (W),PV (W/Wp)
2025-11-15 05:00:00+01:00,94.76666666666667,1003.3455061665777,0.0
2025-11-15 06:00:00+01:00,94.31666666666666,1446.4633953253183,0.0
2025-11-15 07:00:00+01:00,94.45,1819.9484733305433,0.0
2025-11-15 08:00:00+01:00,104.7,1709.169001040858,3.518390804597701
2025-11-15 09:00:00+01:00,216.85,1630.0408065482254,43.65172413793104
2025-11-15 10:00:00+01:00,104.5,1550.9126120555932,31.945977011494254
2025-11-15 11:00:00+01:00,102.76666666666667,1468.6192897832552,90.20574712643678
2025-11-15 12:00:00+01:00,106.38333333333334,1417.9772453079709,54.43448275862069
2025-11-15 13:00:00+01:00,123.73333333333333,1389.4910952906234,47.63908045977011
2025-11-15 14:00:00+01:00,170.96666666666667,1395.821350850034,46.685057471264365
2025-11-15 15:00:00+01:00,136.43333333333334,1421.142373087676,15.881609195402298
2025-11-15 16:00:00+01:00,141.61666666666667,1468.6192897832552,2.3609195402298853
2025-11-15 17:00:00+01:00,138.28333333333333,1528.7567175976562,0.0
2025-11-15 18:00:00+01:00,151.13333333333333,1588.8941454120563,0.0
2025-11-15 19:00:00+01:00,197.86666666666667,1604.7197843105832,0.0
2025-11-15 20:00:00+01:00,125.4,1598.3895287511725,0.0
2025-11-15 21:00:00+01:00,104.48333333333333,1522.4264620382453,0.0
2025-11-15 22:00:00+01:00,93.7,1345.1793063747493,0.0
2025-11-15 23:00:00+01:00,100.51666666666667,949.5383339115878,0.0
2025-11-16 00:00:00+01:00,95.08333333333333,759.63066712927,0.0
2025-11-16 01:00:00+01:00,94.23333333333333,736.0463383418373,0.0
2025-11-16 02:00:00+01:00,94.66666666666667,758.9030233242239,0.0
2025-11-16 03:00:00+01:00,105.75,785.41565987613,0.0
2025-11-16 04:00:00+01:00,97.46666666666667,847.5943996163237,0.0
2025-11-16 05:00:00+01:00,80.75,1037.4031840863884,0.0
2025-11-16 06:00:00+01:00,89.88333333333334,1495.562319014131,0.0
2025-11-16 07:00:00+01:00,89.73333333333333,1881.7250184532284,0.232183908045977
2025-11-16 08:00:00+01:00,101.25,1767.1852347212925,9.581609195402299
2025-11-16 09:00:00+01:00,190.36666666666667,1685.3711034841956,24.42873563218391
2025-11-16 10:00:00+01:00,94.51666666666667,1603.5569722470989,43.18045977011494
2025-11-16 11:00:00+01:00,102.05,1518.470275760518,183.03448275862067
2025-11-16 12:00:00+01:00,94.63333333333334,1466.109231768776,295.816091954023
2025-11-16 13:00:00+01:00,152.65,1436.656144523421,252.47471264367817
2025-11-16 14:00:00+01:00,118.65,1443.201275022389,194.4287356321839
2025-11-16 15:00:00+01:00,93.9,1469.3817970182604,189.84137931034485
2025-11-16 16:00:00+01:00,123.88333333333334,1518.470275760518,11.431034482758621
2025-11-16 17:00:00+01:00,160.2,1580.649015500712,0.0
2025-11-16 18:00:00+01:00,141.83333333333334,1642.8277552409052,0.0
2025-11-16 19:00:00+01:00,194.71666666666667,1659.1905814883248,0.0
2025-11-16 20:00:00+01:00,119.9,1652.6454509893572,0.0
2025-11-16 21:00:00+01:00,122.46666666666667,1574.1038850017437,0.0
2025-11-16 22:00:00+01:00,81.85,1390.8402310306471,0.0
2025-11-16 23:00:00+01:00,90.36666666666666,981.7695748451625,0.0
2025-11-17 00:00:00+01:00,90.11666666666666,785.41565987613,0.0
2025-11-17 01:00:00+01:00,92.66666666666667,794.4123848915496,0.0
2025-11-17 02:00:00+01:00,99.61666666666666,831.2958172048664,0.0
2025-11-17 03:00:00+01:00,101.48333333333333,860.9607932246439,0.0
2025-11-17 04:00:00+01:00,98.33333333333333,929.120189354928,0.0
2025-11-17 05:00:00+01:00,93.15,1137.1857143842171,0.0
