,electricity,dhw,heating
2017-03-04 16:00:00+00:00,0.07932372406611798,0.06434392424981575,0.033661693450110546
2017-03-04 17:00:00+00:00,0.07519847502527971,0.05586573693648804,0.03352260583810718
2017-03-04 18:00:00+00:00,0.09049024592937387,0.041713808461363744,0.027541762913181757
2017-03-04 19:00:00+00:00,0.09574976147670983,0.02271405801041202,0.01492211317375279
2017-03-04 20:00:00+00:00,0.0809471193434271,0.022883429550111894,0.020448490259932863
2017-03-04 21:00:00+00:00,0.06048491006832841,0.0013749033594845437,0.008731105964509274
2017-03-04 22:00:00+00:00,0.019254857123454604,0.0014798395560472128,0.0022361442466716725
2017-03-04 23:00:00+00:00,0.016602400730813625,0.0009567737183586897,0.0016454837492847862
2017-03-05 00:00:00+00:00,0.014130026840695172,0.0,0.0012145479804000002
2017-03-05 01:00:00+00:00,0.01350056459799684,0.00043575000000000005,0.0013550979804000003
2017-03-05 02:00:00+00:00,0.013707033049585291,0.001738699907379091,0.0018798280358725454
2017-03-05 03:00:00+00:00,0.01630264407151764,0.010787249986476732,0.005495697988213961
2017-03-05 04:00:00+00:00,0.020441481067743426,0.038966175159707676,0.021250842899175393
2017-03-05 05:00:00+00:00,0.05628865041774299,0.11607865729989389,0.07041608066006368
2017-03-05 06:00:00+00:00,0.05382576900702267,0.1621607009339247,0.1098802229496452
2017-03-05 07:00:00+00:00,0.051530026806292255,0.10279732312723845,0.08332414105365694
2017-03-05 08:00:00+00:00,0.042107199351514954,0.04824592190533857,0.056586494856796864
2017-03-05 09:00:00+00:00,0.043109732076392855,0.021917150950268,0.0380127574198392
2017-03-05 10:00:00+00:00,0.04386027464754945,0.016767840446894756,0.031956843721863144
2017-03-05 11:00:00+00:00,0.04345184048007653,0.012385975143688822,0.02503846289378671
2017-03-05 12:00:00+00:00,0.041273106349098206,0.03337006835815448,0.028528006985107306
2017-03-05 13:00:00+00:00,0.04185702729296574,0.03545520918759339,0.026372422477443973
2017-03-05 14:00:00+00:00,0.03657010648887417,0.0371097320742477,0.01814370874545138
2017-03-05 15:00:00+00:00,0.03931840355574397,0.035852954149072996,0.018395275500556196
2017-03-05 16:00:00+00:00,0.04174859722020895,0.050206967374937406,0.02797336757503755
2017-03-05 17:00:00+00:00,0.06413787974103276,0.05095439794485186,0.031142909233088878
2017-03-05 18:00:00+00:00,0.07002544959512418,0.04464069423293385,0.02669013146023969
2017-03-05 19:00:00+00:00,0.06622494871997173,0.0356600995034907,0.029163988292905577
2017-03-05 20:00:00+00:00,0.06695477019479987,0.02920716810760508,0.02248324713043695
2017-03-05 21:00:00+00:00,0.04430384999307141,0.006989918606761538,0.008980096816043079
