Ts_in,Te_start,Te_end,a,d,e,f,g
35,20,25,0.08750000000000001,0.0,0.0,0.0,3.2375000000000003
35,25,30,0.1,0.0,0.0,0.0,2.9250000000000003
35,30,35,0.04849999999999999,0.0,0.0,0.0,4.470000000000001
40,-7,-6,0.08999999999999993,0.0,0.0,0.0,2.8999999999999995
40,-6,-5,0.09000000000000004,0.0,0.0,0.0,2.9000000000000004
40,-5,-4,0.10500000000000007,0.0,0.0,0.0,2.9750000000000005
40,-4,-3,0.07999999999999993,0.0,0.0,0.0,2.875
40,-3,-2,0.08000000000000015,0.0,0.0,0.0,2.8750000000000004
40,-2,-1,0.07999999999999993,0.0,0.0,0.0,2.875
40,-1,0,0.07999999999999993,0.0,0.0,0.0,2.875
40,0,1,0.05500000000000012,0.0,0.0,0.0,2.875
40,1,2,0.08000000000000003,0.0,0.0,0.0,2.85
40,2,3,0.054999999999999896,0.0,0.0,0.0,2.9000000000000004
40,3,4,0.054999999999999896,0.0,0.0,0.0,2.9000000000000004
40,4,5,0.05500000000000012,0.0,0.0,0.0,2.8999999999999995
40,5,6,0.125,0.0,0.0,0.0,2.55
40,6,7,0.19999999999999973,0.0,0.0,0.0,2.1000000000000014
40,7,8,0.0750000000000004,0.0,0.0,0.0,2.974999999999997
40,8,9,0.125,0.0,0.0,0.0,2.575
40,9,10,0.1499999999999999,0.0,0.0,0.0,2.350000000000001
40,10,11,0.12500000000000008,0.0,0.0,0.0,2.599999999999999
40,11,12,0.07499999999999982,0.0,0.0,0.0,3.150000000000002
40,12,13,0.12500000000000008,0.0,0.0,0.0,2.549999999999999
40,13,15,0.04999999999999991,0.0,0.0,0.0,3.5250000000000012
40,15,20,0.06000000000000005,0.0,0.0,0.0,3.374999999999999
40,20,25,0.07500000000000001,0.0,0.0,0.0,3.075
40,25,30,0.1,0.0,0.0,0.0,2.45
40,30,35,0.03700000000000001,0.0,0.0,0.0,4.34
45,-7,-6,0.09499999999999989,0.0,0.0,0.0,2.6999999999999993
45,-6,-5,0.09500000000000006,0.0,0.0,0.0,2.7
45,-5,-4,0.10250000000000008,0.0,0.0,0.0,2.7375000000000007
45,-4,-3,0.06499999999999988,0.0,0.0,0.0,2.5874999999999995
45,-3,-2,0.06500000000000021,0.0,0.0,0.0,2.5875000000000004
45,-2,-1,0.06499999999999988,0.0,0.0,0.0,2.5875
45,-1,0,0.06499999999999988,0.0,0.0,0.0,2.5875
45,0,1,0.05250000000000019,0.0,0.0,0.0,2.5875
45,1,2,0.09000000000000005,0.0,0.0,0.0,2.55
45,2,3,0.05249999999999986,0.0,0.0,0.0,2.6250000000000004
45,3,4,0.05249999999999986,0.0,0.0,0.0,2.6250000000000004
45,4,5,0.05250000000000019,0.0,0.0,0.0,2.624999999999999
45,5,6,0.11250000000000004,0.0,0.0,0.0,2.3249999999999997
45,6,7,0.19999999999999973,0.0,0.0,0.0,1.8000000000000016
45,7,8,0.06250000000000033,0.0,0.0,0.0,2.7624999999999975
45,8,9,0.08749999999999991,0.0,0.0,0.0,2.562500000000001
45,9,10,0.17500000000000004,0.0,0.0,0.0,1.7749999999999997
45,10,11,0.08750000000000005,0.0,0.0,0.0,2.65
45,11,12,0.06249999999999992,0.0,0.0,0.0,2.9250000000000016
45,12,13,0.08750000000000005,0.0,0.0,0.0,2.625
45,13,15,0.04999999999999996,0.0,0.0,0.0,3.1125000000000007
45,15,20,0.060000000000000005,0.0,0.0,0.0,2.9625
45,20,25,0.0625,0.0,0.0,0.0,2.9125
45,25,30,0.1,0.0,0.0,0.0,1.975
45,30,35,0.025500000000000037,0.0,0.0,0.0,4.209999999999999
50,-7,-6,0.09999999999999987,0.0,0.0,0.0,2.499999999999999
50,-6,-5,0.10000000000000009,0.0,0.0,0.0,2.5000000000000004
50,-5,-4,0.10000000000000009,0.0,0.0,0.0,2.5000000000000004
50,-4,-3,0.04999999999999982,0.0,0.0,0.0,2.2999999999999994
50,-3,-2,0.050000000000000266,0.0,0.0,0.0,2.3000000000000007
50,-2,-1,0.04999999999999982,0.0,0.0,0.0,2.3
50,-1,0,0.04999999999999982,0.0,0.0,0.0,2.3
50,0,1,0.050000000000000266,0.0,0.0,0.0,2.3
50,1,2,0.10000000000000009,0.0,0.0,0.0,2.25
50,2,3,0.04999999999999982,0.0,0.0,0.0,2.3500000000000005
50,3,4,0.04999999999999982,0.0,0.0,0.0,2.3500000000000005
50,4,5,0.050000000000000266,0.0,0.0,0.0,2.3499999999999988
50,5,6,0.10000000000000009,0.0,0.0,0.0,2.0999999999999996
50,6,7,0.19999999999999973,0.0,0.0,0.0,1.5000000000000018
50,7,8,0.050000000000000266,0.0,0.0,0.0,2.549999999999998
50,8,9,0.04999999999999982,0.0,0.0,0.0,2.5500000000000016
50,9,10,0.20000000000000018,0.0,0.0,0.0,1.1999999999999984
50,10,15,0.05,0.0,0.0,0.0,2.7
50,15,20,0.05999999999999996,0.0,0.0,0.0,2.5500000000000007
50,20,25,0.05,0.0,0.0,0.0,2.75
50,25,30,0.1,0.0,0.0,0.0,1.5
50,30,35,0.014000000000000058,0.0,0.0,0.0,4.079999999999998
